Topic,Growth_Ratio,Recent_Changepoint,Avg_Severity,Risk_Score,Name,Representation,Count
139,0.9523809523809524,False,1.0588235294117647,1.4565826330532212,139_sector_separation_rside_tracon,"['sector', 'separation', 'rside', 'tracon', 'north', 'radar controller', 'aircraft aircraft', 'heading', 'radar', 'adiz']",68
9,0.7575757575757576,False,1.8453608247422681,1.4565760699781318,9_pattern_downwind_traffic pattern_traffic,"['pattern', 'downwind', 'traffic pattern', 'traffic', 'crosswind', 'nmac', 'student', 'cessna', 'reported nmac', 'upwind']",97
290,0.9523809523809524,False,1.0555555555555556,1.4550264550264551,290_local_local control_opposite direction_737800,"['local', 'local control', 'opposite direction', '737800', 'controller', 'separation', 'opposite', 'be1900', 'traffic', 'departing']",54
26,0.7843137254901961,False,1.7078651685393258,1.454064771976206,26_downwind_pattern_cessna_skyhawk,"['downwind', 'pattern', 'cessna', 'skyhawk', 'traffic', 'base', 'cirrus', 'tower', 'student', 'sight']",89
610,1.25,False,0.3235294117647059,1.4522058823529413,610_sigmet_weather_sigmets_balloons,"['sigmet', 'weather', 'sigmets', 'balloons', 'flight planning', 'airshow', 'metar', 'forecast', 'planning', 'severe turbulence']",34
573,0.909090909090909,False,1.1944444444444444,1.452020202020202,573_braking action_braking_landing data_data,"['braking action', 'braking', 'landing data', 'data', 'action', 'landing distance', 'action report', 'jac', 'medium', 'spoilers']",36
285,0.9677419354838709,False,0.9818181818181818,1.442815249266862,285_runway_goaround_runway 29_28l,"['runway', 'goaround', 'runway 29', '28l', 'land runway', '27r', 'cleared land', '28r', 'approach runway', 'land']",55
206,0.8333333333333334,False,1.459016393442623,1.4412568306010929,206_reverser_thrust reverser_maintenance_mel,"['reverser', 'thrust reverser', 'maintenance', 'mel', 'test', 'maintenance control', 'mach trim', 'thrust', 'trim', 'circuit']",61
293,0.8333333333333334,False,1.4444444444444444,1.4351851851851853,293_parachute_jump_jumpers_fay,"['parachute', 'jump', 'jumpers', 'fay', 'jump zone', 'airspace', 'class', 'mva', 'laanc', 'area']",54
193,0.7692307692307692,False,1.7301587301587302,1.4346764346764347,193_hydraulic_valve_engine_bleed,"['hydraulic', 'valve', 'engine', 'bleed', 'mel', 'maintenance', 'deferral', 'pump', 'pressure', 'deferred']",63
75,0.9302325581395349,False,1.051948051948052,1.4195107218363032,75_runway redacted_runway_redacted_helicopter,"['runway redacted', 'runway', 'redacted', 'helicopter', 'land', 'land runway', 'runway xy', 'tower', 'short final', 'xy']",77
450,0.9523809523809524,False,0.9777777777777777,1.4179894179894181,450_cargo_carts_towbar_cart,"['cargo', 'carts', 'towbar', 'cart', 'locks', 'girt', 'pallet', 'nose', 'tug', 'girt bar']",45
19,0.909090909090909,False,1.118279569892473,1.4173998044965783,19_pilatus_sql_ifr_gsp,"['pilatus', 'sql', 'ifr', 'gsp', 'norcal tracon', 'airspace', 'radar', 'vfr', 'traffic', 'san']",93
497,0.7692307692307692,False,1.6666666666666667,1.4102564102564104,497_oxygen_crew oxygen_psi_o2,"['oxygen', 'crew oxygen', 'psi', 'o2', 'bottle', 'valve', 'oxygen bottle', 'crew o2', 'o2 bottle', 'test']",42
252,0.625,False,2.508771929824561,1.4089912280701755,252_oil_oil pressure_engine oil_oil quantity,"['oil', 'oil pressure', 'engine oil', 'oil quantity', 'pressure', 'quantity', 'low oil', 'engine', 'left engine', 'quarts']",57
